1002,2,0,0,0,1,null,0,1
1003,1,1,1,1,0,null,1,2
1004,1,1,1,0,0,null,1,2
1005,1,1,1,0,1,null,0,1
1008,1,1,0,1,0,null,1,2
1013,1,1,0,0,0,null,0,1
1015,2,0,0,0,0,null,0,1
1016,1,1,0,1,1,1,1,2
1017,1,1,0,0,1,0,0,1
1018,2,1,0,0,1,1,0,2
1020,0,1,1,1,0,1,1,2
1022,2,1,0,0,0,0,0,1
1024,1,1,1,0,1,1,0,2
1025,0,1,0,0,0,1,0,1
1027,2,1,0,0,1,null,0,0
1029,2,1,0,0,1,null,0,0
1031,1,1,1,1,1,1,1,2
1032,1,1,1,1,1,0,1,1
1033,1,1,0,1,1,1,1,1
1034,0,0,1,0,1,null,0,2
1036,2,0,0,0,1,1,0,2
1039,1,1,1,1,0,2,1,2
1041,1,1,0,0,0,1,0,1
1042,0,1,0,1,0,0,1,1
1043,2,0,1,0,1,1,0,2
1044,1,1,0,0,1,2,0,2
1045,2,1,0,1,0,null,1,1
1046,1,1,1,0,1,null,0,1
1047,1,0,0,1,0,1,1,1
1048,1,1,1,1,0,null,1,2
1049,2,0,0,0,1,null,0,2
1051,2,1,0,0,1,null,0,2
1052,2,1,0,0,0,1,0,1
1053,1,1,1,0,1,null,0,1
1054,1,1,0,1,1,null,1,0
1055,1,1,0,0,0,1,0,2
1057,1,1,1,1,1,1,1,2
1058,2,0,0,0,1,1,0,2
1059,2,1,1,0,1,1,0,2
1060,2,0,0,0,1,0,0,1
1061,2,0,0,0,1,null,1,1
1062,2,0,0,0,1,null,0,2
1064,1,1,1,1,1,null,0,0
1065,2,1,1,0,1,null,1,1
1067,2,1,0,0,1,null,0,2
1069,2,1,0,0,1,1,0,1
1072,2,1,1,0,1,null,0,2
1073,2,1,1,0,0,2,1,2
1075,2,1,0,0,1,null,0,0
1076,2,1,0,0,1,null,0,1
1077,2,0,1,0,1,0,0,1
1078,2,0,0,0,1,null,0,1
1079,1,1,1,0,0,null,1,2
1081,2,1,0,1,0,1,1,1
1082,0,1,1,0,0,2,0,1
1083,0,1,0,0,0,1,0,2
1086,0,1,0,1,0,1,1,2
1089,2,1,1,0,1,null,0,2
1091,0,0,0,0,1,0,1,2
1092,2,0,0,0,0,null,0,1
1093,1,1,0,0,0,null,0,1
1094,2,1,0,1,0,null,1,1
1096,1,1,1,1,0,1,1,2
1097,2,1,0,1,1,null,1,2
1098,1,1,0,0,0,null,1,2
1099,2,0,0,0,1,null,0,1
1100,2,0,0,0,0,null,0,1
1102,2,1,0,0,1,null,0,1
1106,1,0,0,1,0,null,1,1
1107,1,1,0,0,0,null,1,2
1108,1,1,1,0,0,1,1,2
1109,0,1,1,1,0,2,1,2
1110,2,1,0,0,1,null,0,2
1112,1,1,0,0,0,null,1,0
1115,2,0,0,1,1,null,1,1
1120,2,0,0,0,1,null,0,0
1121,2,1,1,0,1,null,0,1
1122,1,1,0,0,0,null,0,1
1123,2,1,0,0,1,null,0,1
1124,1,0,0,0,0,null,0,1
1126,1,0,1,0,0,null,1,2
1127,0,1,0,0,0,0,1,1
1130,1,1,1,0,1,1,0,2
1132,2,1,0,1,0,null,0,0
1133,2,0,0,0,0,null,1,2
1134,1,1,1,1,0,null,1,2
1135,2,1,1,0,1,1,1,2
1136,2,0,0,0,1,null,0,2
1138,1,1,0,0,0,null,1,2
1139,0,1,1,1,0,1,1,2
1140,2,1,1,1,0,null,1,1
1141,1,1,1,1,0,1,1,2
1143,0,0,1,1,0,1,1,2
1144,0,1,1,1,0,1,1,2
1150,1,0,1,0,0,null,1,1
1152,1,0,1,0,0,null,0,1
1153,1,0,0,0,1,null,0,1
1154,1,1,1,0,0,null,1,1
1156,0,1,0,1,0,null,1,1
1157,2,0,0,0,1,null,1,1
1158,0,1,1,1,0,2,1,1
1159,2,0,0,0,0,null,0,1
1160,2,1,0,0,1,null,0,0
1161,0,1,0,0,1,null,0,2
1162,2,1,1,1,0,null,1,1
